Date,IDs,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area
01/01/2012,325,325,325,325,325,325,325,325,325,185,325,325,325,325,324,325
01/02/2012,522,522,522,522,522,522,522,522,522,362,522,522,522,522,521,522
01/03/2012,547,547,547,547,547,547,547,547,547,365,547,547,547,547,547,547
01/04/2012,403,403,403,403,403,403,403,403,403,245,403,403,403,403,403,403
01/05/2012,446,446,446,446,446,446,446,446,446,281,446,446,446,446,446,446
01/06/2012,509,509,509,509,509,509,509,509,509,321,509,509,509,509,509,509
01/07/2012,423,423,423,423,423,423,423,423,423,259,423,423,423,423,422,423
01/08/2012,437,437,437,437,437,437,437,437,437,273,437,437,437,437,437,437
01/09/2012,361,361,361,361,361,361,361,361,361,227,361,361,361,361,361,361
01/10/2012,525,525,525,525,525,525,525,525,525,321,525,525,525,525,523,525
01/11/2012,556,556,556,556,556,556,556,556,556,362,556,556,556,556,556,556
01/12/2012,495,495,495,495,495,495,495,495,495,299,495,495,495,495,494,495
02/01/2012,322,322,322,322,322,322,322,322,322,164,322,322,322,322,322,322
02/02/2012,563,563,563,563,563,563,563,563,563,362,563,563,563,563,563,563
02/03/2012,492,492,492,492,492,492,492,492,492,339,492,492,492,492,491,492
02/04/2012,437,437,437,437,437,437,437,437,437,270,437,437,437,437,436,437
02/05/2012,463,463,463,463,463,463,463,463,463,292,463,463,463,463,463,463
02/06/2012,425,425,425,425,425,425,425,425,425,256,425,425,425,425,425,425
02/07/2012,555,555,555,555,555,555,555,555,555,322,555,555,555,555,555,555
02/08/2012,502,502,502,502,502,502,502,502,502,304,502,502,502,502,502,502
02/09/2012,387,387,387,387,387,387,387,387,387,234,387,387,387,387,386,387
02/10/2012,542,542,542,542,542,542,542,542,542,349,542,542,542,542,542,542
02/11/2012,619,619,619,619,619,619,619,619,619,369,619,619,619,619,618,619
02/12/2012,393,393,393,393,393,393,393,393,393,227,393,393,393,393,390,393
03/01/2012,424,424,424,424,424,424,424,424,424,266,424,424,424,424,423,424
03/02/2012,657,657,657,657,657,657,657,657,657,413,657,657,657,657,656,657
03/03/2012,500,500,500,500,500,500,500,500,500,294,500,500,500,500,500,500
03/04/2012,494,494,494,494,494,494,494,494,494,304,494,494,494,494,494,494
03/05/2012,429,429,429,429,429,429,429,429,429,291,429,429,429,429,429,429
03/06/2012,448,448,448,448,448,448,448,448,448,262,448,448,448,448,448,448
03/07/2012,553,553,553,553,553,553,553,553,553,354,553,553,553,553,553,553
03/08/2012,503,503,503,503,503,503,503,503,503,326,503,503,503,503,503,503
03/09/2012,493,493,493,493,493,493,493,493,493,335,493,493,493,493,493,493
03/10/2012,593,593,593,593,593,593,593,593,593,377,593,593,593,593,592,593
03/11/2012,506,506,506,506,506,506,506,506,506,309,506,506,506,506,506,506
03/12/2012,541,541,541,541,541,541,541,541,541,334,541,541,541,541,541,541
04/01/2012,476,476,476,476,476,476,476,476,476,286,476,476,476,476,476,476
04/02/2012,578,578,578,578,578,578,578,578,578,299,578,578,578,578,578,578
04/03/2012,361,361,361,361,361,361,361,361,361,205,361,361,361,361,361,361
04/04/2012,418,418,418,418,418,418,418,418,418,258,418,418,418,418,418,418
04/05/2012,480,480,480,480,480,480,480,480,480,299,480,480,480,480,480,480
04/06/2012,319,319,319,319,319,319,319,319,319,191,319,319,319,319,319,319
04/07/2012,526,526,526,526,526,526,526,526,526,305,526,526,526,526,525,526
04/08/2012,425,425,425,425,425,425,425,425,425,261,425,425,425,425,425,425
04/09/2012,517,517,517,517,517,517,517,517,517,349,517,517,517,517,516,517
04/10/2012,574,574,574,574,574,574,574,574,574,389,574,574,574,574,574,574
04/11/2012,372,372,372,372,372,372,372,372,372,225,372,372,372,372,371,372
04/12/2012,626,626,626,626,626,626,626,626,626,375,626,626,626,626,622,626
05/01/2012,504,504,504,504,504,504,504,504,504,305,504,504,504,504,503,504
05/02/2012,291,291,291,291,291,291,291,291,291,131,291,291,291,291,291,291
05/03/2012,494,494,494,494,494,494,494,494,494,308,494,494,494,494,494,494
05/04/2012,517,517,517,517,517,517,517,517,517,341,517,517,517,517,515,517
05/05/2012,436,436,436,436,436,436,436,436,436,269,436,436,436,436,435,436
05/06/2012,343,343,343,343,343,343,343,343,343,201,343,343,343,343,343,343
05/07/2012,483,483,483,483,483,483,483,483,483,299,483,483,483,483,482,483
