IDs,Longitude,Latitude,Accident_Severity
1,-0.169101,51.493429,3
2,-0.200838,51.517931,3
3,-0.188636,51.487618,3
10,-0.198587,51.505576,3
11,-0.190082,51.502028,3
12,-0.204686,51.497037,3
13,-0.197303,51.508884,3
14,-0.20776,51.51417,3
17,-0.212046,51.511448,3
23,-0.16055,51.491137,3
24,-0.180416,51.48785,3
32,-0.174709,51.493697,3
33,-0.209922,51.499455,3
34,-0.197613,51.497378,3
36,-0.175824,51.491016,3
38,-0.165469,51.497779,3
41,-0.180036,51.479301,3
43,-0.169792,51.490562,3
47,-0.209678,51.516717,3
48,-0.184329,51.501759,3
49,-0.205004,51.507293,3
50,-0.192487,51.488576,3
52,-0.192704,51.497662,3
55,-0.195132,51.494552,3
59,-0.201285,51.491949,3
63,-0.159015,51.497048,3
66,-0.167493,51.490437,3
67,-0.159012,51.497138,3
69,-0.195423,51.494467,3
71,-0.186906,51.502159,3
72,-0.183885,51.498425,3
73,-0.203032,51.513468,3
76,-0.180152,51.480022,3
77,-0.207343,51.510117,3
78,-0.173611,51.495928,3
79,-0.221683,51.515641,3
80,-0.186385,51.482637,3
82,-0.165732,51.498412,3
83,-0.194529,51.498859,3
85,-0.216336,51.512322,3
95,-0.206003,51.496518,3
100,-0.186532,51.482549,3
105,-0.173445,51.482076,3
107,-0.21199,51.505512,3
108,-0.155734,51.49268,3
113,-0.193832,51.494622,3
115,-0.159393,51.498403,3
121,-0.163518,51.499727,3
123,-0.168299,51.484694,3
125,-0.17708,51.488428,3
127,-0.182693,51.484918,3
128,-0.172139,51.482326,3
139,-0.15789,51.492804,3
141,-0.211624,51.522232,3
147,-0.209133,51.5159,3
153,-0.181674,51.481575,3
155,-0.155861,51.489535,3
157,-0.181671,51.481665,3
159,-0.198993,51.498928,3
160,-0.223335,51.521331,3
162,-0.197451,51.508796,3
165,-0.17986,51.480108,3
170,-0.164551,51.499113,3
175,-0.17874,51.493759,3
176,-0.186385,51.482637,3
177,-0.201652,51.508231,3
180,-0.197008,51.490804,3
181,-0.159242,51.484282,3
182,-0.191669,51.494679,3
185,-0.1944,51.505782,3
186,-0.210219,51.517625,3
187,-0.197433,51.490991,3
190,-0.204258,51.496941,3
191,-0.202381,51.515347,3
192,-0.156843,51.49018,2
193,-0.186832,51.485881,3
196,-0.150111,51.485667,3
199,-0.187387,51.486429,3
201,-0.201634,51.512368,3
203,-0.161426,51.501582,3
209,-0.190661,51.494663,3
215,-0.159011,51.500735,3
228,-0.15475,51.484931,3
229,-0.154606,51.484929,3
237,-0.186385,51.482637,3
240,-0.206333,51.517475,2
244,-0.203416,51.507359,3
246,-0.182693,51.484918,3
248,-0.157498,51.491809,3
252,-0.215359,51.526246,2
260,-0.163518,51.499727,3
266,-0.174104,51.487212,3
274,-0.226139,51.519665,3
276,-0.166827,51.492674,3
277,-0.167349,51.48324,3
278,-0.211878,51.501014,3
279,-0.183184,51.490681,3
283,-0.215377,51.525797,3
293,-0.174003,51.482535,3
294,-0.209869,51.508177,3
298,-0.200393,51.492655,3
305,-0.176205,51.48149,3
318,-0.184445,51.480718,3
319,-0.187302,51.492183,3
320,-0.173589,51.482079,3
323,-0.210356,51.517807,3
324,-0.170285,51.496235,3
328,-0.206827,51.523238,3
329,-0.180167,51.501335,3
330,-0.179108,51.495384,3
331,-0.21034,51.499821,3
332,-0.183279,51.48106,3
335,-0.198122,51.499095,3
338,-0.185791,51.483077,2
345,-0.178126,51.480261,3
346,-0.197679,51.499358,3
348,-0.17827,51.480263,3
351,-0.212862,51.505345,3
354,-0.20953,51.516805,3
358,-0.191086,51.502134,3
360,-0.173592,51.481989,3
